9?DFJSP09
20 10 3
Operations vector:
12 13 11
11 14  11 14 13
11 12  10 11 11
10 12  14 13 11
13 13
Available machine quantity vector:
2 1 1
1 2  2 4 2
1 1  1 5 1
2 2  2 2 4
4 2  4 1 4
1 4  4 2 2
2 5  1 2 1
2 2  1 4 2
4 1  1 1 4
4 1  4 1 1
1 1  4 4 2
4 1  2 4 5
2 4  2 4 2
1 1  1 5 1
1 1  4 4 1
1 2  1 1 4
1 2  5 4 5
4 4  2 1 4
1 4  1 4 4
1 5  5 2 4
2 1  1 1 1
2 4  5 1 2
2 2  1 4 1
4 1  5 2 4
2 2  4 1 1
1 5  1 4 2
4 1  1 4 4
4 1  2 4 4
1 1  5 2 2
1 1  2 1 4
4 2  1 2 1
4 4  1 2 2
4 4  1 4 4
2 1  4 4 5
2 2  1 4 1
2 2  4 1 4
1 2  1 4 4
4 4  2 1 4
2 4  5 1 4
1 4  2 1 4
2 2  4 1 2
5 5  2 4 1
4 1  2 4 1
4 1  2 4 2
2 4  4 4 4
2 1  4 1 4
4 4  1 2 4
1 1  1 2 5
2 2
Available machine vector:
1 2 8
8 1  2 10 2
9 1  3 4 7
1 5  9 4 2
4 6  7 8 9
8 4  5 1 2
5 8  2 3 1
5 6  10 2 6
7 8  1 5 1
3 4  7 1 1
3 4  7 4 3
5 7  9 2 6
7 8  5 8 2
10 1  2 4 6
7 8  9 4 1
5 1  4 5 2
3 3  1 5 6
10 1  5 1 4
8 9  8 4 8
1 3  4 7 2
5 8  10 3 1
3 4  7 1 8
4 5  2 5 8
10 1  3 4 7
2 10  2 6 7
8 8  4 5 2
5 7  10 4 6
7 8  9 5 8
1 5  6 10 1
5 2  5 7 10
2 10  1 3 5
4 6  7 8 9
8 8  2 2 6
7 8  1 4 8
9 8  8 5 8
4 1  2 5 7
10 2  4 5 4
6 7  8 9 1
4 8  9 1 2
6 8  10 2 6
7 8  1 3 4
7 2  10 1 2
5 8  10 5 1
3 4  7 9 2
5 7  10 2 6
7 8  2 1 2
6 8  10 4 6
7 8  9 1 2
1 3  4 7 4
5 8  2 1 4
4 5  1 3 4
7 1  2 6 8
10 9  2 9 1
2 5  8 4 1
4 8  9 3 2
5 7  10 9 4
6 7  8 9 4
5 1  3 4 7
1 2  2 3 1
5 6  10 1 9
5 1  2 6 8
10 4  1 4 8
9 5  8 1 3
4 7  3 1 1
3 4  7 2 5
8 10  1 4 8
9 4  2 9 2
6 7  8 1 3
4 7  2 8 4
6 7  8 9 4
5 2  10 2 3
2 9  5 2 5
7 10  1 3 4
7 1  2 8 1
5 1  1 3 4
7 3  5 7 9
1 2  10 1 2
2 6  7 8 1
4 8  9 4 1
3 4  7 1 3
4 7  2 3 1
1 4  8 9 2
5 7  10 1 2
6 8  10 4 5
2 9  2 2 5
8 10  4 2 3
1 2  2 6 7
8 8  1 4 8
9 3  2 9 8
2 6  7 8 1
3 4  7 2 5
7 10  1 5 6
10 1  2 4 3
5 7  9 1 5
2 5  8 10 1
2 6  8 10 9
1 3  4 7 8
2 5  8 10 4
5 1  2 6 7
8 1  2 2 10
1 3  4 7 3
1 5  1 2 6
8 10  4 6 7
8 9  4 5 2
5 8  10 3 3
5 7  9 9 1
2 2  5 7 10
8 1  5 6 10
3 1  2 1 3
4 7  2 10 2
3 1  4 8 9
1 3  4 7 2
5 7  10 2 5
8 10  5 8 2
2 6  7 8 5
1 3  4 7 2
5 7  10 2 6
7 8  3 4 5
1 4  8 9 5
1 8  2 9 1
2 6  8 10 2
3 2  10
Data array:
174 11  4.95 52.3  0.8 0.8
113 11  4.95 52.3  0.8 0.8
64 11 4.95
52.3 0.8
0.8
170 11  4.95 59.6  0.6 0.6
135 11  4.95 59.6  0.6 0.6
52 11 4.95
59.6 0.6
0.6
157 16  7.2 54.8  0.6 0.7
90 17 7.65
54.8 0.6
0.7
53 18 8.1
54.8 0.6
0.7
165 13  5.85 62.7  0.8 0.7
151 14  6.3 62.7  0.8 0.7
53 15 6.75
62.7 0.8
0.7
186 8 3.6
66.6 0.7
0.7
175 10  4.5 66.6  0.7 0.7
100 11  4.95 66.6  0.7 0.7
156 15  6.75 62  0.8 0.6
111 16  7.2 62  0.8 0.6
82 16 7.2
62 0.8  0.6
135 18  8.1 67.5  0.8 0.5
128 19  8.55 67.5  0.8 0.5
52 20 9
67.5 0.8
0.5
181 11  4.95 59.9  0.8 0.7
133 12  5.4 59.9  0.8 0.7
84 14 6.3
59.9 0.8
0.7
178 5 2.25
58.5 0.9
0.6
176 6 2.7
58.5 0.9
0.6
60 6 2.7
58.5 0.9
0.6
104 15  6.75 61.5  0.9 0.5
92 17 7.65
61.5 0.9
0.5
84 17 7.65
61.5 0.9
0.5
108 10  4.5 64.5  0.7 0.7
101 10  4.5 64.5  0.7 0.7
84 10 4.5
64.5 0.7
0.7
117 9 4.05
67.5 0.6
0.7
112 10  4.5 67.5  0.6 0.7
92 10 4.5
67.5 0.6
0.7
73 9 4.05
77.8 0.6
0.5
62 9 4.05
77.8 0.6
0.5
57 10 4.5
77.8 0.6
0.5
103 7 3.15
66.9 0.6
0.8
65 8 3.6
66.9 0.6
0.8
62 9 4.05
66.9 0.6
0.8
187 19  8.55 54.3  0.8 0.8
169 19  8.55 54.3  0.8 0.8
151 20  9 54.3  0.8 0.8
144 11  4.95 52.5  0.8 0.7
110 11  4.95 52.5  0.8 0.7
84 12 5.4
52.5 0.8
0.7
172 15  6.75 52.7  0.8 0.7
72 15 6.75
52.7 0.8
0.7
60 15 6.75
52.7 0.8
0.7
82 4 1.8
79.9 0.6
0.9
75 4 1.8
79.9 0.6
0.9
56 5 2.25
79.9 0.6
0.9
188 5 2.25
58.6 0.5
0.8
166 6 2.7
58.6 0.5
0.8
64 6 2.7
58.6 0.5
0.8
171 16  7.2 54.6  0.5 0.6
66 16 7.2
54.6 0.5
0.6
53 16 7.2
54.6 0.5
0.6
180 9 4.05
56.2 0.8
0.5
106 9 4.05
56.2 0.8
0.5
91 10 4.5
56.2 0.8
0.5
190 13  5.85 77.6  0.7 0.8
150 14  6.3 77.6  0.7 0.8
113 14  6.3 77.6  0.7 0.8
116 7 3.15
68 0.8  0.7
106 8 3.6
68 0.8  0.7
73 9 4.05
68 0.8  0.7
176 15  6.75 71  0.8 0.7
117 17  7.65 71  0.8 0.7
82 18 8.1
71 0.8  0.7
109 10  4.5 57.5  0.6 0.7
85 11 4.95
57.5 0.6
0.7
81 11 4.95
57.5 0.6
0.7
115 5 2.25
50.2 0.7
0.6
88 6 2.7
50.2 0.7
0.6
86 8 3.6
50.2 0.7
0.6
98 10 4.5
75.7 0.6
0.5
75 11 4.95
75.7 0.6
0.5
74 11 4.95
75.7 0.6
0.5
179 10  4.5 62.5  0.6 0.6
144 11  4.95 62.5  0.6 0.6
100 11  4.95 62.5  0.6 0.6
144 7 3.15
64.3 0.5
0.8
122 10  4.5 64.3  0.5 0.8
113 10  4.5 64.3  0.5 0.8
198 7 3.15
51.7 0.8
0.5
95 8 3.6
51.7 0.8
0.5
53 8 3.6
51.7 0.8
0.5
144 15  6.75 65.5  0.9 0.9
102 16  7.2 65.5  0.9 0.9
92 18 8.1
65.5 0.9
0.9
190 11  4.95 62.7  0.7 0.7
148 11  4.95 62.7  0.7 0.7
83 12 5.4
